exp_id,experiment_name,model,eval_benchmark,corruption_type,severity,asr_pct,orr_xstest_pct,orr_mmsa_pct,orr_avg_pct,sqa_regex_acc,sqa_judged_acc,what_it_measures,result_file,date_run,status,notes
PAPER-MSR,MSR-Align - Published Paper Numbers (reference),MSR-Align (arXiv:2506.19257),XSTest + MMSA + FigStep,clean,0,23.8,57.6,76.2,66.9,,88.7,Published numbers from MSR-Align paper - use as reference,arXiv:2506.19257,2025,reference,"SQA utility from paper Table 3. If our CLEAN-MSR differs significantly, check adapter loading."
CLEAN-BASE,Base LLaVA-CoT - Clean Baseline,Base LLaVA-CoT,XSTest(250) + MMSA(428) + FigStep(500) + ScienceQA(250),clean,0,70.4,26.8,59.6,43.2,83.2,93.6,"Clean image safety (ASR), over-refusal (ORR), and utility (SQA)",orr/base.json + figstep_noise_sweep/asr_base_clean.json,2026-06,complete,
CLEAN-TIS,TIS (Think-in-Safety) - Clean Baseline,TIS (Think-in-Safety),XSTest(250) + MMSA(428) + FigStep(500) + ScienceQA(250),clean,0,13.8,74.8,89.7,82.3,45.2,pending,"Clean image safety (ASR), over-refusal (ORR), and utility (SQA)",orr/base_tis.json + figstep_noise_sweep/asr_base_tis_clean.json,2026-06,complete,
CLEAN-SAGE,SAGE - Clean Baseline,SAGE,XSTest(250) + MMSA(428) + FigStep(500) + ScienceQA(250),clean,0,0.4,36.0,65.0,50.5,85.2,pending,"Clean image safety (ASR), over-refusal (ORR), and utility (SQA)",orr/base_sage.json + figstep_noise_sweep/asr_base_sage_clean.json,2026-06,complete,
CLEAN-MSR,MSR-Align - Clean Baseline,MSR-Align,XSTest(250) + MMSA(428) + FigStep(500) + ScienceQA(250),clean,0,,,,,68.0,pending,"Clean image safety (ASR), over-refusal (ORR), and utility (SQA)",orr/base_msr.json + figstep_noise_sweep/asr_base_msr_clean.json,2026-06,pending,
NOISE-SEV1-BASE,Base LLaVA-CoT - Gaussian Noise Sev1,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,1,70.0,28.0,58.6,43.3,82.8,92.4,Gaussian noise sev1 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV2-BASE,Base LLaVA-CoT - Gaussian Noise Sev2,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,2,66.8,22.8,60.3,41.5,82.8,92.8,Gaussian noise sev2 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV3-BASE,Base LLaVA-CoT - Gaussian Noise Sev3,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,3,67.6,24.0,60.0,42.0,83.6,pending,Gaussian noise sev3 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV4-BASE,Base LLaVA-CoT - Gaussian Noise Sev4,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,4,69.0,21.6,56.5,39.1,82.4,pending,Gaussian noise sev4 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
NOISE-SEV5-BASE,Base LLaVA-CoT - Gaussian Noise Sev5,Base LLaVA-CoT,FigStep(500) + XSTest(250) + MMSA(428) + ScienceQA(250),gaussian_noise,5,68.4,25.6,56.8,41.2,80.8,pending,Gaussian noise sev5 effect on safety and utility,figstep_noise_sweep/ + orr_noise_sweep/ + sqa_noise_sweep/,2026-06,complete,
